Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0402_1005Metric,165.65,-114.6,45,top
C2,0.1uF,C_0402_1005Metric,162.3,-125.612613,-90,top
C3,0.1uF,C_0402_1005Metric,154.85,-120.95,180,top
C4,0.1uF,C_0402_1005Metric,155.77,-116,180,top
C5,0.1uF,C_0402_1005Metric,164.2,-114.65,90,top
C6,0.1uF,C_0402_1005Metric,161.35,-110.8,90,top
C7,0.1uF,C_0402_1005Metric,162.4,-110,90,top
C8,0.1uF,C_0402_1005Metric,165.6,-116.1,0,top
C9,0.1uF,C_0402_1005Metric,166.05,-120.5,0,top
C10,1uF,C_0402_1005Metric,163.35,-125.612613,-90,top
C11,0.1uF,C_0402_1005Metric,163.2,-114.22,90,top
C12,0.1uF,C_0402_1005Metric,160.3,-110.8,90,top
C13,10uF,C_0603_1608Metric,156.65,-98.55,180,top
C14,10uF,C_0603_1608Metric,157.75,-104.3125,180,top
C15,33pF,C_0402_1005Metric,156.91,-127.562613,90,top
C16,33pF,C_0402_1005Metric,162.31,-127.562613,-90,top
C17,0.1uF,C_0402_1005Metric,158.47,-110.05,0,top
J1,USB_C_Receptacle_USB2.0_14P,USB_C_Receptacle_HRO_TYPE-C-31-M-12,160.5,-92.5,180,top
J2,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,151.61,-91.37,0,top
J3,Conn_01x20,PinHeader_1x20_P2.54mm_Vertical,169.39,-91.37,0,top
J4,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,157.96,-139.39,90,top
R1,5.1K,R_0402_1005Metric,158.7,-98.8,90,top
R2,5.1K,R_0402_1005Metric,161.9,-98.81,90,top
R3,27,R_0402_1005Metric,161.2,-113.79,90,top
R4,27,R_0402_1005Metric,162.2,-113.79,90,top
R5,1K,R_0402_1005Metric,160.66,-125.212613,0,top
R6,1K,R_0402_1005Metric,164.7,-104.3,0,top
R7,10K,R_0402_1005Metric,156.49,-110.05,180,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,164.5,-100.85,-90,top
U1,RP2040,QFN-56-1EP_7x7mm_P0.4mm_EP3.2x3.2mm,160.5,-119.5,0,top
U2,NCP1117-3.3_SOT223,SOT-23,157.6,-101.3125,90,top
U3,W25Q16JVZPIQ TR,Winbond_USON-8-1EP_3x2mm_P0.5mm_EP0.2x1.6mm,157.5,-111.9,0,top
Y1,12 MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,159.61,-127.562613,180,top